AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,COMP_CODE,LIGHTACTV,LIGHTINTNS
C27321A3-863B-4C7E-999E-73715A59B5D9,26-Aug,2782,60,GRAVE,2,LIM
B1F24408-4DB9-4074-9ED3-AD6A3AF0E54D,19-Jan,2529,300,GRAVE,,
EF4F0F48-746C-46BD-9DA3-361F775B426C,NW/SE,10000,300,WATER,,
7E99D002-7857-49C4-86CA-34F9BAFE6523,16/34,3230,60,GRAVE,2,LIM
0B37B404-6C0C-49F9-AD38-885A0B08956A,26-Aug,3000,300,GRAVE,,
EA7557EE-7B3F-487B-A536-98F47BF84F8F,16/34,3000,75,GRAVE,2,LIM
82AFA85B-5A98-497A-8FB3-F2897EABB0C1,20-Feb,3220,75,GRAVE,2,LIM
EA468FB0-5454-4DA7-9F11-D2CAD87EADF6,13/31,2500,60,GRAVE,,
13ECC09D-FBF7-435E-B13D-A6D8A8A92ABA,E/W,6000,300,WATER,,
13ECC09D-FBF7-435E-B13D-A6D8A8A92ABA,NE/SW,10000,300,WATER,,
554ED0FD-27B2-4FB4-8F32-94C5A147B90F,22-Apr,2200,90,GRAVE,,
208D6127-363C-43EC-8B5F-B35A689A3E97,20-Feb,2600,60,GRAVE,,
4FA54B86-C124-4788-B2AA-C5A3467F0479,26-Aug,2800,60,GRAVE,,
E2A6D57F-1C89-4C52-80D3-2B4F35C49C47,30-Dec,3000,50,TURF+GRVL,,
503E0C82-B08F-4EC5-A887-58A82B97E51F,20-Feb,2060,60,TURF+GRVL,,
3AC5A9B8-1E6F-4466-B496-EA6405AB3AC2,13/31,2850,75,GRAVE,,
49EB577B-B714-4980-8A3A-1446BA4CB262,27-Sep,3401,60,GRAVE,2,LIM
E03F9C1B-B2EC-4D32-B86B-FC09EFDCDFE9,21-Mar,1400,300,GRAVE,,
88A60787-EB9C-4708-966D-9A7DA87962F0,15/33,2979,60,GRAVE,2,LIM
CB12C3EA-0332-4088-9920-2A2B8B4BC6B5,27-Sep,3669,80,GRAVE,2,LIM
A6F09ED7-3BC4-4027-BB06-BD4F89401564,18/36,3200,60,GRAVE,2,LIM
20E74C94-3C37-4E88-9CCA-F03EBB6FEAAD,19-Jan,3997,100,ASPH,2,LIM
A5BAD322-E243-4A61-8182-607C3DDC8CE7,20-Feb,2500,300,TURF+DIRT,,
3055C903-232A-45F4-AC1D-C2C13F3CA8C7,N/S,5000,300,WATER,,
ED60F5CC-677F-4A4B-8259-7CBE0AA857D7,26-Aug,4900,150,ASPH,2,LIH
ED60F5CC-677F-4A4B-8259-7CBE0AA857D7,15/33,10180,150,ASPH,2,LIH
B5B81A69-2E2A-4AB9-8EDD-ACA1F0C59E81,E/W,2500,300,WATER,,
B5B81A69-2E2A-4AB9-8EDD-ACA1F0C59E81,N/S,2000,300,WATER,,
DB2C87E7-A1E6-4D26-9D50-075494C5945C,19-Jan,3500,300,GRAVE,,
69EEE5FE-4FC9-479C-879A-01EAFB66F81F,14/32,3250,300,GRAVE,,
E3AE5C64-BAED-4C28-B9BF-00223C1A8C7A,22-Apr,2200,60,GRAVE,,
DCA88EFA-BFEA-488C-93DC-4F7F9679BFF2,13/31,2200,300,GRAVE,,
89D63998-1CA5-46D4-808B-633E3E42544F,27-Sep,7500,150,ASPH,2,LIH
89D63998-1CA5-46D4-808B-633E3E42544F,16/34,1899,30,GRAVE,2,
FE687F0E-B11C-4942-8446-3EB4B9BFC74F,27-Sep,1600,300,GRASS,,
2593D5C4-EDC7-48F1-B164-FEC0CE6B4C59,24-Jun,1800,60,GRAVE,,
2593D5C4-EDC7-48F1-B164-FEC0CE6B4C59,09W/27W,8000,300,WATER,,
B690B8E9-5F88-4BA9-B581-DA12950570D1,28-Oct,3000,60,GRASS,,
0B83870A-BEBB-42C8-842C-73D4BC5AC14D,N/S,10000,300,WATER,,
92F5FB38-7EB5-4427-A63E-7AD54D4DD7C8,H1,70,70,WOOD,,
A0A9C75C-C374-4E5B-82B0-107C2C1AEDB0,13/31,2250,300,DIRT,,
8DB7C2CD-9D7F-4F86-AB55-80CCF895DD72,13/31,2029,60,GRAVE,,
19FBB880-2DD0-4403-A909-284B0BC28DD1,29-Nov,4913,75,GRAVE,,
ADFBDDE4-AB2B-484E-B5A0-4CAFF98F3AEC,13/31,1160,300,TURF+GRVL,,
FEC1FC99-5695-422F-ADE3-548C6C4080DE,26-Aug,4780,75,GRAVE,,
B0674B3B-700F-40E5-8522-67BBC02EB18E,21-Mar,5005,100,GRAVE,2,LIM
CD3A9553-E38A-4A81-B21C-D53563529BB2,H1,90,90,GRAVE,,
3B24FEDF-10EE-4308-B091-003C8CF38209,23-May,5000,150,GRAVE,0,LIH
24A731B3-2978-468C-BC38-B3BD1DB880A1,20-Feb,5000,150,GRAVE,,
4424E58F-2CC6-4CF3-A067-5ACF87EF423F,19-Jan,9000,150,ASPH,2,LIH
4424E58F-2CC6-4CF3-A067-5ACF87EF423F,25-Jul,4057,88,ASPH,2,LIM
4424E58F-2CC6-4CF3-A067-5ACF87EF423F,28-Oct,6115,150,ASPH,2,LIH
16670E01-C7B5-4B03-A333-A5BA1DAE6B81,26-Aug,2200,300,GRAVE,,
16670E01-C7B5-4B03-A333-A5BA1DAE6B81,15/33,1000,300,GRAVE,,
5CFF1574-F7A2-434B-8F6E-B117B9A80C67,25-Jul,2500,60,GRAVE,,
D906BE76-006E-4F82-ADEB-D8CB6632D9AD,15/33,2350,300,GRASS,,
365E511C-7196-48F5-B8F6-B0D83E6AEAEF,30-Dec,1800,300,GRASS,,
8F7D53A7-5D51-4C53-BFA9-CE451A41C191,29-Nov,2600,300,GRASS,,
05D4D8B8-E0B1-4A10-B2EE-1F7A6319B772,15/33,2380,300,GRASS,,
AB9F4020-2EF1-45F1-AF5B-AB42F04F16DB,15/33,2800,300,GRAVE,0,OTHER
4B8C7177-DD7F-4781-BDDE-2390E39145D2,H1,300,300,GRAVE,,
5A457695-62AB-4FE0-9D31-D2171695B04A,H1,300,300,GRAVE,,
56BC03A2-3B71-49D3-8AB5-F740F23B265F,27-Sep,5500,300,TURF+GRVL,,
46C8B3A7-070F-41E5-AC8F-13657388D12A,25-Jul,3000,300,GRAVE,,
2D8A90A9-1A57-4074-A821-9D9C37D434E0,19-Jan,6400,150,ASPH,2,LIH
3B988C72-D70E-4E7A-A4F1-CFBA52636774,16/34,1000,300,GRASS,,
62DE1091-5003-4EA3-9E26-AB4653E59984,NE/SW,1400,300,WATER,,
C65912E4-2ECF-4B32-8FE6-D25250C52F9E,H1,64,64,CONC,0,
D888CFCD-4E8C-4572-9524-04B2D83D3A5D,14/32,3500,300,GRAVE,,
27B2FE88-5259-4744-BE2C-7B8683A863A3,25-Jul,3600,75,GRAVE,2,LIM
6DD859A7-0655-4354-8388-11365A9FA42C,24-Jun,1400,300,GRASS,,
90F349AD-C43B-4DFD-96F2-3E1E1C5B7162,N/S,3500,300,WATER,,
B9F993BD-6A9F-4C1A-9EE4-1D915E11B992,21-Mar,1500,75,GRAVE,2,LIM
B9F993BD-6A9F-4C1A-9EE4-1D915E11B992,30-Dec,5600,100,GRAVE,2,LIM
02F704E8-C3AD-4860-B17B-6B7E164D05F5,19-Jan,1200,300,GRAVE,,
379C88B5-DA34-4D43-A11D-5B08E86944E3,20-Feb,3319,75,GRAVE,2,LIM
44322B86-29A7-4862-BBF5-01835616CFAD,H1,70,70,WOOD,,
BD3590EB-0A6A-43B5-8ED6-BB32BF72BCFB,NW/SE,10000,300,WATER,,
45A46A64-A4B9-490E-A3E4-7B76A241680E,19-Jan,3401,60,GRAVE,2,LIM
6719A3CF-4DD5-4490-BE08-3A0FEE65DA47,24-Jun,3000,300,GRAVE,,
9A1140EE-FC5F-4937-B9CB-1B23CFF10208,NW/SE,8000,300,WATER,,
CB70A39D-60F5-4C1E-9C2B-7AB2D3903DD5,16/34,4601,100,GRAVE,2,LIM
E398AB3E-5C96-4346-8618-1A42602B944B,16/34,1500,300,DIRT,,
3494B611-78E3-4B0C-B22F-388588E3F697,26-Aug,950,40,GRAVE,,
74204835-4709-4018-A3B3-B1EB606B7E4C,NW/SE,1000,300,WATER,,
B4248569-1111-44FC-AC84-B08EA8F3F57A,E/W,3000,300,WATER,,
B4248569-1111-44FC-AC84-B08EA8F3F57A,N/S,5000,300,WATER,,
2773904A-598B-42E2-B7FC-AC2B879C0B9D,18/36,4700,300,GRAVE,,
2773904A-598B-42E2-B7FC-AC2B879C0B9D,18W/36W,4000,300,WATER,,
931DDF64-72CC-421D-9608-5D46A3663BCA,24-Jun,4000,300,GRAVE,,
931DDF64-72CC-421D-9608-5D46A3663BCA,06W/24W,3400,300,WATER,,
A68C3A1D-BFAA-46BF-9BA2-DAC755F93C53,20-Feb,1410,300,GRASS,,
A68C3A1D-BFAA-46BF-9BA2-DAC755F93C53,16/34,1700,300,GRASS,,
0C47EF72-B741-4778-B886-CBC013C20C0D,20-Feb,2400,300,GRAVE,,
D5E42B17-A87C-4E5A-AF1B-9C6757DD249C,24-Jun,4600,300,ASP+GRVL,,
268B87EE-3454-4243-9FE1-32260028A3E0,24-Jun,2400,300,GRASS,,
2D66A664-4C26-4DDC-8874-DFD6D8B9819C,27-Sep,1320,300,GRASS,,
9A266F31-4BA1-4834-B19B-E26B5F13DC92,15/33,1530,300,GRASS,,
2252FAD4-131A-4CBA-A103-AEBF28672BFF,13/31,3988,300,GRASS,,
0455F59F-A32D-4903-8A7D-4499FE36BFE3,27-Sep,2558,17,GRAVE,,
2B204F08-A18A-48B8-BD6D-CAF27C90F0BB,14/32,14530,150,CONC,0,LIH
DD4CD9A0-38D2-4575-ACB0-C26F0FA60487,16/34,1500,300,DIRT,,
9348144C-6301-41D3-98EA-E632E05A8215,20-Feb,2900,75,GRAVE,,
9348144C-6301-41D3-98EA-E632E05A8215,02L/20R,11800,150,ASPH,,LIH
9348144C-6301-41D3-98EA-E632E05A8215,02R/20L,6501,100,ASPH,,LIM
9348144C-6301-41D3-98EA-E632E05A8215,02W/20W,5400,100,WATER,,
25F18090-7F01-450F-8D91-84131E1367E7,E/W,4000,300,WATER,,
D5CF31D7-B8A0-46FD-B17E-C237CFFCDD42,14/32,2150,60,GRAVE,,
68B89467-C70D-4792-B6BD-63CAFFE8A06C,26-Aug,4600,30,GRAVE,,
FFF22645-E99B-4573-B521-916E794F84FC,13/31,2000,12,GRAVE,,
EF190722-5CEF-4066-B987-6B0884943561,NW/SE,5000,300,WATER,,
